experiment_id,dataset,model,condition,mps_group,seed,pid,run_dir,artifacts_dir,batch_size,epochs,lr,amp,num_workers,train_size,val_size,train_samples_total,total_time_s,final_train_loss,final_train_acc,final_val_loss,final_val_acc,final_train_throughput_sps,final_val_throughput_sps,final_gpu_max_mem_alloc_mb,final_gpu_max_mem_reserved_mb,gpu_util_pct_mean,gpu_util_pct_p95,gpu_util_pct_max,power_w_mean,power_w_p95,power_w_max,energy_j_approx,energy_j_per_sample,samples_per_j,gpu_mem_used_mb_mean,gpu_mem_used_mb_p95,gpu_mem_used_mb_max,gpu_name,gpu_total_mem_mb,gpu_sm_count,torch_version,cuda_version,cudnn_version,nv_driver_version
E3,cifar10,resnet18,sequential,,42,13386,E3_cifar10_resnet18_sequential_20260109_002532_716485_pid13386,runs/E3_cifar10_resnet18_sequential_20260109_002532_716485_pid13386,128,5,0.001,True,2,50000,10000,250000,116.84763836860655,0.8507202967071533,0.7005200000190734,0.993229201889038,0.6647,2962.9809219758145,6260.052446900126,235.40478515625,272.0,26.57829181494662,42.94999999999993,84.0,33.01303202846975,39.8447,75.188,3853.25689126873,0.0154130275650749,64.88017982047508,668.9888790035587,685.875,2265.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,sequential,,42,1668,E1_mnist_simplecnn_sequential_20260109_013023_981992_pid1668,runs/E1_mnist_simplecnn_sequential_20260109_013023_981992_pid1668,256,3,0.001,True,2,60000,10000,180000,40.31072473526001,0.0584879736185073,0.9825666666984558,0.0485324295118451,0.9841,7909.642498693844,8237.937765850154,91.45654296875,202.0,9.70408163265306,19.0,21.0,29.6391224489796,34.04,35.819,1194.214237974286,0.0066345235443015,150.72672413061264,520.9362244897959,611.875,611.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,sequential,,43,1668,E1_mnist_simplecnn_sequential_20260109_013110_466931_pid1668,runs/E1_mnist_simplecnn_sequential_20260109_013110_466931_pid1668,256,3,0.001,True,2,60000,10000,180000,28.38382625579834,0.0601943992177645,0.982416666730245,0.0456363262752071,0.9857,7014.864028288893,7605.036729628809,91.45654296875,200.0,13.218978102189782,18.0,21.0,31.00697810218978,34.933,37.477,877.0271747357845,0.0048723731929765,205.23879440135624,580.3421532846716,609.875,609.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E1,mnist,simplecnn,sequential,,44,1668,E1_mnist_simplecnn_sequential_20260109_013140_226882_pid1668,runs/E1_mnist_simplecnn_sequential_20260109_013140_226882_pid1668,256,3,0.001,True,2,60000,10000,180000,28.49116516113281,0.0642591781695683,0.9803500000635784,0.0499042219849303,0.984,6999.381882894177,7526.573032165424,91.45654296875,200.0,13.218978102189782,18.0,20.0,31.733766423357665,36.193,37.082,898.5719783434868,0.0049920665463527,200.31784246358225,577.1888686131387,609.875,609.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E3,cifar10,resnet18,sequential,,100,2349,E3_cifar10_resnet18_sequential_20260109_013217_679903_pid2349,runs/E3_cifar10_resnet18_sequential_20260109_013217_679903_pid2349,128,5,0.001,True,2,50000,10000,250000,131.03708600997925,0.8564143324661255,0.6989800000572205,0.9247352289199828,0.678,2491.318585962586,5237.008658667552,235.40478515625,272.0,25.65182829888712,41.0,99.0,35.01698092209856,41.9164,86.667,4589.913110163212,0.0183596524406528,54.46726201557883,671.4807233704292,685.875,2265.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E3,cifar10,resnet18,sequential,,101,2349,E3_cifar10_resnet18_sequential_20260109_013439_692412_pid2349,runs/E3_cifar10_resnet18_sequential_20260109_013439_692412_pid2349,128,5,0.001,True,2,50000,10000,250000,107.92457461357117,0.8473383635330201,0.7017999999809265,0.9729869558334352,0.6672,2524.256564029753,5334.588918569981,235.7177734375,272.0,31.17829457364341,41.0,48.0,37.241529069767445,42.094,45.395,4018.014777378202,0.0160720591095128,62.21978112363432,685.2703488372093,685.875,685.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E3,cifar10,resnet18,sequential,,102,2349,E3_cifar10_resnet18_sequential_20260109_013631_180167_pid2349,runs/E3_cifar10_resnet18_sequential_20260109_013631_180167_pid2349,128,5,0.001,True,2,50000,10000,250000,106.90705585479736,0.856623018951416,0.6985600000572204,1.0233278217315671,0.6522,2622.412259345152,5425.364157964702,235.7177734375,272.0,31.419607843137253,41.0,47.0,38.25100196078431,43.40285,47.465,4085.312901447177,0.0163412516057887,61.19482302357801,685.4710784313726,685.875,685.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E6,flowers102,resnet50,sequential,,200,4150,E6_flowers102_resnet50_sequential_20260109_013826_820364_pid4150,runs/E6_flowers102_resnet50_sequential_20260109_013826_820364_pid4150,32,5,0.001,True,2,1020,1020,5100,106.05094361305235,3.910511089773739,0.0745098039215686,5.265196744133444,0.1264705882352941,124.36039447992282,135.49615709052063,1729.35009765625,2364.0,35.41617357001972,90.0,99.0,52.97592899408284,85.5805,104.067,5624.91626464653,1.1029247577738297,0.906680163766044,2326.210305719921,2777.875,3533.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E6,flowers102,resnet50,sequential,,201,4150,E6_flowers102_resnet50_sequential_20260109_014045_992804_pid4150,runs/E6_flowers102_resnet50_sequential_20260109_014045_992804_pid4150,32,5,0.001,True,2,1020,1020,5100,78.75826787948608,3.8808287405500224,0.0676470589111833,4.191115285836014,0.0725490197831509,112.33342524239428,153.5597697308807,1732.1630859375,2194.0,42.42245989304813,89.0,99.0,56.97585294117647,87.63194999999999,105.396,4487.68525571704,0.8799382854347136,1.1364433353481973,2555.495320855615,2607.875,2607.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
E2,cifar10,mobilenet_v3_small,sequential,,300,5269,E2_cifar10_mobilenet_v3_small_sequential_20260109_014212_423570_pid5269,runs/E2_cifar10_mobilenet_v3_small_sequential_20260109_014212_423570_pid5269,256,5,0.001,True,2,50000,10000,250000,131.55188822746277,1.3728851459121705,0.4998400000095367,1.49619850730896,0.4752,2654.7558586481045,5732.536813571979,87.86376953125,110.0,16.84518167456556,29.0,79.0,33.83468246445498,36.687,39.057,4452.569744402646,0.0178102789776105,56.14735183301207,515.0156003159558,523.875,523.875,Tesla T4,15095.0625,40,2.9.1+cu128,12.8,91002,550.54.15
